task,budget,challenger,seed,decision,false_certification,safe,continue,abstain,cost,runtime_residual_items,repair_gain,cumulative_recall,after_support_ratio,after_exposure_gini,after_weak_plausible_gap
requests,1,low_exposure,1,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,2,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,3,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,4,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,5,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,6,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,7,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,8,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,9,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,10,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,11,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,12,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,13,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,14,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,15,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,16,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,17,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,18,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,19,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,20,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,21,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,22,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,23,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,24,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,25,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,26,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,27,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,28,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
